
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.14.5, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:     4500
Number of nonzeros in inequality constraint Jacobian.:     1600
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     2100
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     2100
                     variables with only upper bounds:        0
Total number of equality constraints.................:      900
Total number of inequality constraints...............:      800
        inequality constraints with only lower bounds:      800
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

  45r 1.8530467e+08 5.52e+00 1.24e+13   1.9 7.88e+01    -  4.82e-01 1.68e-02f  1
  46r 1.8536263e+08 2.49e+00 1.62e+11   1.9 6.94e+01    -  9.75e-01 1.34e-01f  3
  47r 1.8536263e+08 2.49e+00 3.35e+08   1.9 4.74e+00    -  9.61e-02 1.06e-01h  1
  48r 1.8536263e+08 2.49e+00 6.57e+02   1.9 4.42e+00    -  0.00e+00 2.66e-07R 17
  49r 1.8536806e+08 2.56e+00 4.74e+07   1.2 6.93e+00    -  9.29e-02 3.39e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 1.8536814e+08 2.56e+00 4.68e+11   1.2 2.85e-01    -  7.72e-01 2.68e-02f  1
  51r 1.8535604e+08 2.46e+00 1.44e+10   1.2 1.52e+02    -  5.05e-01 1.02e-02f  1
  52r 1.8486584e+08 4.47e+00 7.82e+02   1.2 9.64e+00    -  1.00e+00 4.59e-01f  1
  53r 1.8472912e+08 8.92e+00 2.74e+01   1.2 8.92e+00    -  1.00e+00 1.00e+00f  1
  54r 1.8434592e+08 6.21e+00 1.40e+11   0.5 1.04e+01    -  9.24e-01 7.98e-01f  1
  55r 1.8434590e+08 6.21e+00 1.16e+09   0.5 2.92e+02    -  1.71e-03 1.73e-03f  1
  56r 1.8434559e+08 6.24e+00 3.36e+07   0.5 8.80e+00    -  1.09e-03 3.46e-03h  1
  57r 1.8434533e+08 6.26e+00 9.42e+10   0.5 9.45e+00    -  2.76e-03 2.86e-03h  1
  58r 1.8434528e+08 6.26e+00 2.72e+04   0.5 9.42e+00    -  6.84e-03 5.66e-04h  1
  59r 1.8434526e+08 6.27e+00 2.01e+05   0.5 6.47e+00    -  7.49e-03 1.24e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r 1.8434522e+08 6.11e+00 1.24e+13   0.5 1.28e+02    -  1.26e-01 6.36e-04f  1
  61r 1.8434600e+08 6.11e+00 1.25e+13   0.5 8.02e+03    -  2.35e-04 4.29e-05f  2
  62r 1.8434623e+08 6.11e+00 1.61e+10   0.5 1.71e+07    -  1.64e-07 2.26e-09h  1
  63r 1.8434584e+08 6.06e+00 1.23e+13   0.5 1.24e+02    -  9.90e-01 4.88e-03f  1
  64r 1.8434606e+08 5.98e+00 1.10e+23   0.5 8.95e+00    -  7.92e-03 8.09e-03h  1
  65r 1.8434606e+08 5.98e+00 1.25e+12   0.5 7.30e+04   1.7 2.10e-08 2.16e-08h  1
  66r 1.8434786e+08 5.50e+00 1.32e+10   0.5 8.37e+00    -  9.72e-04 5.07e-02h  1
  67r 1.8434878e+08 5.32e+00 2.08e+07   0.5 5.36e+00    -  1.14e-02 2.98e-02h  1
  68r 1.8434908e+08 5.24e+00 4.84e+03   1.1 3.50e+02    -  9.14e-01 2.08e-04f  1
  69r 1.8441000e+08 2.81e+00 3.34e+03   0.9 1.85e+01    -  1.17e-01 3.07e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 1.8447527e+08 2.80e+00 1.15e+04   0.4 2.80e+00    -  8.36e-01 1.00e+00H  1
  71r 1.8453016e+08 2.79e+00 3.97e+03   0.4 2.79e+00    -  1.00e+00 1.00e+00h  1
  72r 1.8451780e+08 2.79e+00 2.87e+01  -0.3 2.79e+00    -  1.00e+00 1.00e+00h  1
  73r 1.8506973e+08 2.79e+00 6.21e+01   0.2 4.78e+00    -  8.38e-01 1.00e+00h  1
  74r 1.8458298e+08 2.31e+00 2.34e+01  -0.4 3.83e+00    -  9.98e-01 9.00e-01h  1
  75r 1.8462201e+08 2.30e+00 2.88e+01  -1.3 3.70e+00    -  1.00e+00 9.96e-01h  1
  76r 1.8495984e+08 2.30e+00 1.83e+06  -0.5 8.49e+00    -  1.00e+00 1.00e+00h  1
  77r 1.8482232e+08 2.46e+00 9.36e+01  -1.0 2.50e+01    -  9.67e-01 3.32e-01H  1
  78r 1.8490115e+08 1.71e+00 1.29e+07  -0.7 2.74e+00    -  1.00e+00 6.27e-01h  1
  79r 1.8490201e+08 1.71e+00 3.13e+03  -6.7 1.71e+00    -  8.13e-03 8.06e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80r 1.8490231e+08 1.71e+00 1.01e+07   1.3 2.31e+00    -  1.12e-03 2.34e-03f  1
  81r 1.8490746e+08 1.71e+00 2.30e+06  -0.7 2.04e+00    -  2.35e-02 4.63e-02h  1
  82r 1.8491225e+08 1.71e+00 1.06e+07   1.3 2.51e+01    -  1.67e-02 4.37e-02f  1
  83r 1.8491228e+08 1.71e+00 3.93e+12  -0.2 1.72e+01    -  4.71e-03 3.19e-04f  2
  84r 1.8491275e+08 1.71e+00 1.10e+10  -0.2 2.45e+00    -  1.18e-01 5.81e-03h  1
  85r 1.8491277e+08 1.71e+00 9.93e+02  -0.2 8.40e+02    -  1.42e-04 2.23e-04f  1
  86r 1.8491278e+08 1.71e+00 9.93e+02  -0.2 2.12e+01    -  2.55e-04 4.62e-05f  2
  87r 1.8491289e+08 1.71e+00 1.01e+05  -0.2 4.09e+00    -  4.58e-01 1.01e-03h  1
  88r 1.8491289e+08 1.71e+00 3.62e+02  -0.2 1.59e+01    -  0.00e+00 3.93e-07R 22
  89r 1.8492432e+08 1.71e+00 5.49e+07  -0.2 3.86e+00    -  8.01e-01 8.96e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r 1.8505076e+08 1.71e+00 6.42e+06  -0.2 3.66e+00    -  9.91e-01 8.83e-01f  1
